"","fips","state_abb","decade","mean_ppt","mean_tavg","sd_ppt","sd_tavg","ppt_instability_cv","tavg_instability_cv"
"1","01","AL","1980_1989",112.619306415856,18.3087599824312,16.2027855323201,0.596908049879031,0.143872183624449,0.0326023198977874
"2","01","AL","1990_1999",122.012501516858,17.2764674560681,11.2092021997252,0.664161410090199,0.0918692925755353,0.0384431257014247
"3","01","AL","2000_2009",119.649789771966,18.010859095986,23.9506222729643,0.682104301858283,0.200172706685155,0.0378718359975566
"4","01","AL","2010_2019",129.098793958686,18.5677724042194,18.6752633562843,1.24508136852355,0.144658697293955,0.0670560442802828
"5","04","AZ","1980_1989",18.0332417798965,21.0641721820712,6.06204506554375,0.560463104234954,0.336159473683857,0.026607411836103
"6","04","AZ","1990_1999",17.2637239129181,21.2479423898629,5.64627021707105,0.462790945815873,0.327059807348173,0.0217805064285502
"7","04","AZ","2000_2009",12.7757035805608,21.625016273791,3.43129111675316,0.162321805059841,0.268579424617689,0.00750620498984648
"8","04","AZ","2010_2019",14.1867575131317,21.7159809662636,3.05798931943607,0.508780440457873,0.215552378096652,0.023428849069645
"9","05","AR","1980_1989",106.28086213964,18.3936262644983,12.4817709901752,1.00760471974476,0.11744137880417,0.0547801018274223
"10","05","AR","1990_1999",105.428922431284,17.2139242691237,16.4876019000423,0.410714401289399,0.156385947231782,0.0238594288477317
"11","05","AR","2000_2009",111.501546918132,18.1633841848146,20.4571005557513,0.833373972433298,0.183469208465525,0.0458820869477636
"12","05","AR","2010_2019",121.270999480244,17.8422853971174,22.7021843881538,1.38686248086712,0.187202088590456,0.0777289708128523
"13","06","CA","1980_1989",28.8676087308993,16.4611890782215,12.5724737236764,0.494841556232592,0.435521827972508,0.0300611063928108
"14","06","CA","1990_1999",32.0404980086858,16.702106132348,11.4042963440711,0.489486863104057,0.355933804180556,0.0293068945452356
"15","06","CA","2000_2009",26.2435096589815,16.653166505761,5.87107962806215,0.275636076007826,0.223715490205132,0.0165515714931736
"16","06","CA","2010_2019",26.1035890446751,17.1946423677494,9.93145508985831,0.570385060998342,0.380463202698336,0.0331722549849696
"17","08","CO","1980_1989",43.3448320817729,16.6213732446791,5.1240561075233,0.686430925222355,0.118216079320747,0.0412980874153763
"18","08","CO","1990_1999",49.2118398431898,16.7545891935118,7.49583431312026,0.710377196837735,0.152317701126502,0.0423989623758026
"19","08","CO","2000_2009",44.8896748615614,17.1317079417291,9.84600430337687,0.89478448098684,0.219337839575397,0.0522297300438645
"20","08","CO","2010_2019",49.5297234191238,17.225189483682,9.03107134383918,1.05470555694947,0.182336397629715,0.0612304182748541
"21","09","CT","1980_1989",108.818549457922,15.1836259042698,24.3423626244946,0.623570710322309,0.223696812223244,0.0410686297366531
"22","09","CT","1990_1999",104.165475679914,15.4692065469481,15.4427618315634,0.60081225761673,0.148252208620607,0.0388392420641163
"23","09","CT","2000_2009",115.318192709313,15.481392600116,17.9978241697862,0.900987828832459,0.156070987126497,0.0581981125409679
"24","09","CT","2010_2019",109.289506938528,15.9341079837723,23.9595210133018,0.889582334255739,0.219229839025427,0.0558288129565655
"25","10","DE","1980_1989",92.0971832068131,16.522041440196,23.8018264245464,0.869339279967219,0.258442501668016,0.0526169410186947
"26","10","DE","1990_1999",95.8787530420978,16.0198719334327,14.2640438741368,1.08573660001664,0.14877168738181,0.0677743620253771
"27","10","DE","2000_2009",104.408585169752,16.8223197201806,18.2078877361386,0.856479042525025,0.174390714197836,0.0509132543413478
"28","10","DE","2010_2019",110.828577379045,17.0950654087043,17.9982496772417,0.839229106651009,0.162397191255879,0.04909189210962
"29","12","FL","1980_1989",105.73096004007,21.817692498595,14.2971100495115,0.4664786366894,0.135221604382416,0.021380750357511
"30","12","FL","1990_1999",112.577695995302,22.23481383634,13.1850183374801,0.50007058327151,0.117119276788453,0.0224904326589957
